epoch,m,b
1002,1.56946,0.383804
1003,1.5695,0.383689
1004,1.56954,0.383574
1005,1.56958,0.383459
1006,1.56962,0.383345
1007,1.56966,0.38323
1008,1.56969,0.383115
1009,1.56973,0.383
1010,1.56977,0.382886
1011,1.56981,0.382771
1012,1.56985,0.382657
1013,1.56989,0.382542
1014,1.56993,0.382427
1015,1.56997,0.382313
1016,1.57001,0.382199
1017,1.57004,0.382084
1018,1.57008,0.38197
1019,1.57012,0.381855
1020,1.57016,0.381741
1021,1.5702,0.381627
1022,1.57024,0.381512
1023,1.57028,0.381398
1024,1.57032,0.381284
1025,1.57036,0.38117
1026,1.57039,0.381056
1027,1.57043,0.380942
1028,1.57047,0.380828
1029,1.57051,0.380714
1030,1.57055,0.3806
1031,1.57059,0.380486
1032,1.57063,0.380372
1033,1.57067,0.380258
1034,1.5707,0.380144
1035,1.57074,0.38003
1036,1.57078,0.379917
1037,1.57082,0.379803
1038,1.57086,0.379689
1039,1.5709,0.379575
1040,1.57094,0.379462
1041,1.57098,0.379348
1042,1.57101,0.379235
1043,1.57105,0.379121
1044,1.57109,0.379008
1045,1.57113,0.378894
1046,1.57117,0.378781
1047,1.57121,0.378667
1048,1.57125,0.378554
1049,1.57128,0.378441
1050,1.57132,0.378327
1051,1.57136,0.378214
1052,1.5714,0.378101
1053,1.57144,0.377988
1054,1.57148,0.377874
1055,1.57152,0.377761
1056,1.57155,0.377648
1057,1.57159,0.377535
1058,1.57163,0.377422
1059,1.57167,0.377309
1060,1.57171,0.377196
1061,1.57175,0.377083
1062,1.57178,0.37697
1063,1.57182,0.376857
1064,1.57186,0.376745
1065,1.5719,0.376632
1066,1.57194,0.376519
1067,1.57198,0.376406
1068,1.57201,0.376294
1069,1.57205,0.376181
1070,1.57209,0.376068
1071,1.57213,0.375956
1072,1.57217,0.375843
1073,1.57221,0.375731
1074,1.57224,0.375618
1075,1.57228,0.375506
1076,1.57232,0.375393
1077,1.57236,0.375281
1078,1.5724,0.375169
1079,1.57244,0.375056
1080,1.57247,0.374944
1081,1.57251,0.374832
1082,1.57255,0.374719
1083,1.57259,0.374607
1084,1.57263,0.374495
1085,1.57266,0.374383
1086,1.5727,0.374271
1087,1.57274,0.374159
1088,1.57278,0.374047
1089,1.57282,0.373935
1090,1.57285,0.373823
1091,1.57289,0.373711
1092,1.57293,0.373599
1093,1.57297,0.373487
1094,1.57301,0.373375
1095,1.57304,0.373264
1096,1.57308,0.373152
1097,1.57312,0.37304
1098,1.57316,0.372928
1099,1.5732,0.372817
1100,1.57323,0.372705
1101,1.57327,0.372594
1102,1.57331,0.372482
1103,1.57335,0.372371
1104,1.57339,0.372259
1105,1.57342,0.372148
1106,1.57346,0.372036
1107,1.5735,0.371925
1108,1.57354,0.371813
1109,1.57358,0.371702
1110,1.57361,0.371591
1111,1.57365,0.37148
1112,1.57369,0.371368
1113,1.57373,0.371257
1114,1.57377,0.371146
1115,1.5738,0.371035
1116,1.57384,0.370924
1117,1.57388,0.370813
1118,1.57392,0.370702
1119,1.57395,0.370591
1120,1.57399,0.37048
1121,1.57403,0.370369
1122,1.57407,0.370258
1123,1.5741,0.370147
1124,1.57414,0.370036
1125,1.57418,0.369926
1126,1.57422,0.369815
1127,1.57426,0.369704
1128,1.57429,0.369593
1129,1.57433,0.369483
1130,1.57437,0.369372
1131,1.57441,0.369262
1132,1.57444,0.369151
1133,1.57448,0.36904
1134,1.57452,0.36893
1135,1.57456,0.36882
1136,1.57459,0.368709
1137,1.57463,0.368599
1138,1.57467,0.368488
1139,1.57471,0.368378
1140,1.57474,0.368268
1141,1.57478,0.368158
1142,1.57482,0.368047
1143,1.57486,0.367937
1144,1.57489,0.367827
1145,1.57493,0.367717
1146,1.57497,0.367607
1147,1.57501,0.367497
1148,1.57504,0.367387
